F,S,#,DRIVER,INTERVAL,LAPS,LED,POINTS,STATUS
1,3,5,Kyle Larson,111.7,200,34,180,Running
2,9,2,Ryan Blaney,-0.23,200,4,175,Running
3,7,24,William Byron,-2.97,200,0,165,Running
4,5,99,Daniel Suarez,-4.34,200,0,160,Running
5,4,48,Alex Bowman,-6.53,200,6,160,Running
6,18,6,Denny Hamlin,-7.06,200,5,155,Running
7,17,0,Chase Briscoe,-11.05,200,0,146,Running
8,29,17,Chris Buescher,-11.34,200,0,142,Running
9,22,45,Tyler Reddick,-18.74,200,0,138,Running
10,19,29,Brad Keselowski,-1L,199,0,134,Running
11,2,9,Chase Elliott,-1L,199,83,140,Running
12,15,12,Josh Berry,-1L,199,0,127,Running
13,11,1,Ross Chastain,-1L,199,0,124,Running
14,13,38,Todd Gilliland,-1L,199,0,121,Running
15,1,22,Scott McLaughlin,-1L,199,1,123,Running
16,14,34,Romain Grosjean,-1L,199,0,115,Running
17,8,20,Christopher Bell,-1L,199,67,117,Running
18,27,23,Bubba Wallace,-1L,199,0,109,Running
19,35,11,Christian Eckes,-2L,198,0,106,Running
20,21,88,Connor Zilisch,-2L,198,0,103,Running
21,6,40,Shane Van Gisbergen,-2L,198,0,100,Running
22,28,3,Kyle Busch,-2L,198,0,97,Running
23,32,47,Carson Hocevar,-3L,197,0,94,Running
24,41,7,Justin Bonsignore,-3L,197,0,91,Running
25,12,21,Joey Logano,-3L,197,0,88,Running
26,37,67,Alexander Rossi,-4L,196,0,85,Running
27,25,19,John Hunter Nemechek,-4L,196,0,82,Running
28,38,26,Marco Andretti,-4L,196,0,79,Running
29,16,13,William Sawalich,-4L,196,0,76,Running
30,20,35,Michael McDowell,-4L,196,0,73,Running
31,36,37,Felipe Nasr,-4L,196,0,70,Running
32,10,77,Ryan Preece,-5L,195,0,67,Running
33,39,32,Taylor Gray,-5L,195,0,64,Running
34,33,91,Jesse Love,-5L,195,0,61,Running
35,34,30,Will Power,-5L,195,0,58,Running
36,23,43,Erik Jones,-6L,194,0,55,Running
37,26,33,Austin Hill,-6L,194,0,52,Running
38,40,8,Austin Dillon,-7L,193,0,49,Running
39,42,50,Justin Allgaier,-8L,192,0,46,Running
40,30,16,A.J. Allmendinger,-8L,192,0,43,Running
41,31,2,Ron Silk,-151L,49,0,40,Retired
42,24,54,Ty Gibbs,-152L,48,0,37,Accident